# Code generated by scripts/generate_iam_mappings.go; DO NOT EDIT.
# Source: https://servicereference.us-east-1.amazonaws.com/v1/service-list.json
# Services: 452
aoss:DeleteAccessPolicy	aoss:DeleteAccessPolicy
aoss:DeleteCollection	aoss:DeleteCollection
aoss:DeleteCollectionGroup	aoss:DeleteCollectionGroup
aoss:DeleteIndex	aoss:DeleteIndex
aoss:DeleteLifecyclePolicy	aoss:DeleteLifecyclePolicy
aoss:DeleteSecurityConfig	aoss:DeleteSecurityConfig
aoss:DeleteSecurityPolicy	aoss:DeleteSecurityPolicy
aoss:DeleteVpcEndpoint	aoss:DeleteVpcEndpoint
aoss:GetAccessPolicy	aoss:GetAccessPolicy
aoss:GetAccountSettings	aoss:GetAccountSettings
aoss:GetIndex	aoss:GetIndex
aoss:GetPoliciesStats	aoss:GetPoliciesStats
aoss:GetSecurityConfig	aoss:GetSecurityConfig
aoss:GetSecurityPolicy	aoss:GetSecurityPolicy
aoss:ListAccessPolicies	aoss:ListAccessPolicies
aoss:ListCollectionGroups	aoss:ListCollectionGroups
aoss:ListCollections	aoss:ListCollections
aoss:ListLifecyclePolicies	aoss:ListLifecyclePolicies
aoss:ListSecurityConfigs	aoss:ListSecurityConfigs
aoss:ListSecurityPolicies	aoss:ListSecurityPolicies
aoss:ListTagsForResource	aoss:ListTagsForResource
aoss:ListVpcEndpoints	aoss:ListVpcEndpoints
aoss:TagResource	aoss:TagResource
aoss:UntagResource	aoss:UntagResource
aoss:UpdateAccessPolicy	aoss:UpdateAccessPolicy
aoss:UpdateAccountSettings	aoss:UpdateAccountSettings
aoss:UpdateCollection	aoss:UpdateCollection
aoss:UpdateCollectionGroup	aoss:UpdateCollectionGroup
aoss:UpdateIndex	aoss:UpdateIndex
aoss:UpdateLifecyclePolicy	aoss:UpdateLifecyclePolicy
aoss:UpdateSecurityConfig	aoss:UpdateSecurityConfig
aoss:UpdateSecurityPolicy	aoss:UpdateSecurityPolicy
aoss:UpdateVpcEndpoint	aoss:UpdateVpcEndpoint
apigateway:CreateApi	apigateway:POST,iam:PassRole
apigateway:CreateApiKey	apigateway:POST,apigateway:PUT
apigateway:CreateApiMapping	apigateway:POST
apigateway:CreateAuthorizer	apigateway:POST,iam:PassRole
apigateway:CreateBasePathMapping	apigateway:POST
apigateway:CreateDeployment	apigateway:POST
apigateway:CreateDocumentationPart	apigateway:POST
apigateway:CreateDocumentationVersion	apigateway:POST
apigateway:CreateDomainName	apigateway:AddCertificateToDomain,apigateway:POST,apigateway:PUT,apigateway:UpdateDomainNamePolicy
apigateway:CreateDomainNameAccessAssociation	apigateway:CreateAccessAssociation,apigateway:POST,apigateway:PUT
apigateway:CreateIntegration	apigateway:POST,iam:PassRole
apigateway:CreateIntegrationResponse	apigateway:POST
apigateway:CreateModel	apigateway:POST
apigateway:CreatePortal	apigateway:CreatePortal,apigateway:GetPortalProduct,apigateway:POST
apigateway:CreatePortalProduct	apigateway:CreatePortalProduct,apigateway:POST
apigateway:CreateProductPage	apigateway:CreateProductPage
